_id,id,active,name,college_score,score,college_id,university_id,university_tier,university_name,city,state,category,aishe_id,university_type,abbreviation[0],abbreviation[1],abbreviation[2],abbreviation[3],abbreviation[4],__v
6941079e1c87f81bf2f627f0,90897,true,"Parul College of Pharmacy & Research, Ahmedabad",,,,,,PARUL UNIVERSITY,Ahmedabad,Gujarat,College,C-69793,State Private University,pcpr ahmedabad,,,,,0
6941079e1c87f81bf2f627f1,90898,true,"Parul Institute of Applied Sciences, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-55918,State Private University,parul ias,,,,,0
6941079e1c87f81bf2f627f2,90899,true,"Parul Institute of Architecture And Research, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-52103,State Private University,via,,,,,0
6941079e1c87f81bf2f627f3,90900,true,"Parul Institute of Arts, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-55902,State Private University,pia vadodara,,,,,0
6941079e1c87f81bf2f627f4,90901,true,"Parul Institute of Ayurved, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-6447,State Private University,pia ayurved vadodara,,,,,0
6941079e1c87f81bf2f627f5,90902,true,"Parul Institute of Ayurved & Research, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-58672,State Private University,piar (ayurved) vadodara,,,,,0
6941079e1c87f81bf2f627f6,90903,true,"Parul Institute of Business Administration, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-6052,State Private University,parul iba,,,,,0
6941079e1c87f81bf2f627f7,90904,true,"Parul Institute of Commerce, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-55891,State Private University,pic vadodara,,,,,0
6941079e1c87f81bf2f627f8,90905,true,"Parul Institute of Computer Application, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-56036,State Private University,pica vadodara,,,,,0
6941079e1c87f81bf2f627f9,90906,true,"Parul Institute of Design, Vadodara",,,,,,PARUL UNIVERSITY,Vadodara,Gujarat,College,C-55766,State Private University,parul iod,,,,,0
